"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1980-Q1","Q1-1980","EUR","Euro","6","Millions",,,108368,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1980-Q2","Q2-1980","EUR","Euro","6","Millions",,,113051,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1980-Q3","Q3-1980","EUR","Euro","6","Millions",,,111284,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1980-Q4","Q4-1980","EUR","Euro","6","Millions",,,119068,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1981-Q1","Q1-1981","EUR","Euro","6","Millions",,,120505,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1981-Q2","Q2-1981","EUR","Euro","6","Millions",,,126141,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1981-Q3","Q3-1981","EUR","Euro","6","Millions",,,125166,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1981-Q4","Q4-1981","EUR","Euro","6","Millions",,,138172,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1982-Q1","Q1-1982","EUR","Euro","6","Millions",,,140537,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1982-Q2","Q2-1982","EUR","Euro","6","Millions",,,147196,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1982-Q3","Q3-1982","EUR","Euro","6","Millions",,,143539,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1982-Q4","Q4-1982","EUR","Euro","6","Millions",,,154718,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1983-Q1","Q1-1983","EUR","Euro","6","Millions",,,156257,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1983-Q2","Q2-1983","EUR","Euro","6","Millions",,,162536,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1983-Q3","Q3-1983","EUR","Euro","6","Millions",,,159813,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1983-Q4","Q4-1983","EUR","Euro","6","Millions",,,171908,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1984-Q1","Q1-1984","EUR","Euro","6","Millions",,,172851,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1984-Q2","Q2-1984","EUR","Euro","6","Millions",,,176331,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1984-Q3","Q3-1984","EUR","Euro","6","Millions",,,173241,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1984-Q4","Q4-1984","EUR","Euro","6","Millions",,,184607,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1985-Q1","Q1-1985","EUR","Euro","6","Millions",,,183749,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1985-Q2","Q2-1985","EUR","Euro","6","Millions",,,189072,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1985-Q3","Q3-1985","EUR","Euro","6","Millions",,,186454,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1985-Q4","Q4-1985","EUR","Euro","6","Millions",,,198413,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1986-Q1","Q1-1986","EUR","Euro","6","Millions",,,197896,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1986-Q2","Q2-1986","EUR","Euro","6","Millions",,,204220,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1986-Q3","Q3-1986","EUR","Euro","6","Millions",,,200548,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1986-Q4","Q4-1986","EUR","Euro","6","Millions",,,211933,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1987-Q1","Q1-1987","EUR","Euro","6","Millions",,,207714,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1987-Q2","Q2-1987","EUR","Euro","6","Millions",,,213128,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1987-Q3","Q3-1987","EUR","Euro","6","Millions",,,209687,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1987-Q4","Q4-1987","EUR","Euro","6","Millions",,,225454,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1988-Q1","Q1-1988","EUR","Euro","6","Millions",,,224114,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1988-Q2","Q2-1988","EUR","Euro","6","Millions",,,230808,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1988-Q3","Q3-1988","EUR","Euro","6","Millions",,,227400,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1988-Q4","Q4-1988","EUR","Euro","6","Millions",,,242894,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1989-Q1","Q1-1989","EUR","Euro","6","Millions",,,242758,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1989-Q2","Q2-1989","EUR","Euro","6","Millions",,,248604,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1989-Q3","Q3-1989","EUR","Euro","6","Millions",,,244015,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1989-Q4","Q4-1989","EUR","Euro","6","Millions",,,261744,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1990-Q1","Q1-1990","EUR","Euro","6","Millions",,,259848,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1990-Q2","Q2-1990","EUR","Euro","6","Millions",,,265167,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1990-Q3","Q3-1990","EUR","Euro","6","Millions",,,257477,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1990-Q4","Q4-1990","EUR","Euro","6","Millions",,,271053,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1991-Q1","Q1-1991","EUR","Euro","6","Millions",,,269017,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1991-Q2","Q2-1991","EUR","Euro","6","Millions",,,273467,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1991-Q3","Q3-1991","EUR","Euro","6","Millions",,,267601,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1991-Q4","Q4-1991","EUR","Euro","6","Millions",,,281621,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1992-Q1","Q1-1992","EUR","Euro","6","Millions",,,282651,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1992-Q2","Q2-1992","EUR","Euro","6","Millions",,,283675,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1992-Q3","Q3-1992","EUR","Euro","6","Millions",,,276950,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1992-Q4","Q4-1992","EUR","Euro","6","Millions",,,287709,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1993-Q1","Q1-1993","EUR","Euro","6","Millions",,,284250,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1993-Q2","Q2-1993","EUR","Euro","6","Millions",,,287303,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1993-Q3","Q3-1993","EUR","Euro","6","Millions",,,280078,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1993-Q4","Q4-1993","EUR","Euro","6","Millions",,,290489,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1994-Q1","Q1-1994","EUR","Euro","6","Millions",,,290647,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1994-Q2","Q2-1994","EUR","Euro","6","Millions",,,296503,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1994-Q3","Q3-1994","EUR","Euro","6","Millions",,,289514,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1994-Q4","Q4-1994","EUR","Euro","6","Millions",,,303203,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1995-Q1","Q1-1995","EUR","Euro","6","Millions",,,303640,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1995-Q2","Q2-1995","EUR","Euro","6","Millions",,,306368,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1995-Q3","Q3-1995","EUR","Euro","6","Millions",,,297709,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1995-Q4","Q4-1995","EUR","Euro","6","Millions",,,310555,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1996-Q1","Q1-1996","EUR","Euro","6","Millions",,,312068,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1996-Q2","Q2-1996","EUR","Euro","6","Millions",,,314081,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1996-Q3","Q3-1996","EUR","Euro","6","Millions",,,306655,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1996-Q4","Q4-1996","EUR","Euro","6","Millions",,,319462,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1997-Q1","Q1-1997","EUR","Euro","6","Millions",,,315856,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1997-Q2","Q2-1997","EUR","Euro","6","Millions",,,325122,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1997-Q3","Q3-1997","EUR","Euro","6","Millions",,,317060,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1997-Q4","Q4-1997","EUR","Euro","6","Millions",,,334737,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1998-Q1","Q1-1998","EUR","Euro","6","Millions",,,333397,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1998-Q2","Q2-1998","EUR","Euro","6","Millions",,,339404,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1998-Q3","Q3-1998","EUR","Euro","6","Millions",,,331876,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1998-Q4","Q4-1998","EUR","Euro","6","Millions",,,347220,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1999-Q1","Q1-1999","EUR","Euro","6","Millions",,,342749,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1999-Q2","Q2-1999","EUR","Euro","6","Millions",,,350103,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1999-Q3","Q3-1999","EUR","Euro","6","Millions",,,344564,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","1999-Q4","Q4-1999","EUR","Euro","6","Millions",,,363584,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2000-Q1","Q1-2000","EUR","Euro","6","Millions",,,363097,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2000-Q2","Q2-2000","EUR","Euro","6","Millions",,,369131,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2000-Q3","Q3-2000","EUR","Euro","6","Millions",,,362687,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2000-Q4","Q4-2000","EUR","Euro","6","Millions",,,383670,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2001-Q1","Q1-2001","EUR","Euro","6","Millions",,,380871,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2001-Q2","Q2-2001","EUR","Euro","6","Millions",,,384103,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2001-Q3","Q3-2001","EUR","Euro","6","Millions",,,376570,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2001-Q4","Q4-2001","EUR","Euro","6","Millions",,,396654,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2002-Q1","Q1-2002","EUR","Euro","6","Millions",,,391560,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2002-Q2","Q2-2002","EUR","Euro","6","Millions",,,396821,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2002-Q3","Q3-2002","EUR","Euro","6","Millions",,,390633,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2002-Q4","Q4-2002","EUR","Euro","6","Millions",,,408813,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2003-Q1","Q1-2003","EUR","Euro","6","Millions",,,403036,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2003-Q2","Q2-2003","EUR","Euro","6","Millions",,,404087,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2003-Q3","Q3-2003","EUR","Euro","6","Millions",,,400815,,
"FRA","France","B1_GE","Gross domestic product - expenditure approach","CQR","National currency, current prices, quarterly levels","Q","Quarterly","2003-Q4","Q4-2003","EUR","Euro","6","Millions",,,422728,,
